ID,GoalPos,PresPos,PresSpd,PresVolt,PresCurent,PresTemp
2.00,0.00,115.31,-100.00,239.00,8.00,41.00
2.00,0.00,114.69,-150.00,239.00,12.00,41.00
2.00,0.00,114.08,-150.00,239.00,13.00,41.00
2.00,0.00,113.37,-50.00,239.00,11.00,41.00
2.00,0.00,112.93,-50.00,239.00,11.00,41.00
2.00,0.00,112.32,-150.00,239.00,14.00,41.00
2.00,0.00,111.70,-100.00,239.00,13.00,41.00
2.00,0.00,111.00,-100.00,239.00,12.00,41.00
2.00,0.00,110.65,-50.00,239.00,11.00,41.00
2.00,0.00,110.12,-50.00,239.00,12.00,41.00
2.00,0.00,109.42,-150.00,239.00,17.00,41.00
2.00,0.00,108.71,-50.00,239.00,16.00,41.00
2.00,0.00,108.18,-50.00,239.00,14.00,41.00
2.00,0.00,107.74,0.00,239.00,14.00,41.00
2.00,0.00,107.04,-150.00,239.00,20.00,41.00
2.00,0.00,106.25,-150.00,241.00,17.00,41.00
2.00,0.00,105.55,-150.00,238.00,22.00,41.00
2.00,0.00,105.11,0.00,239.00,21.00,41.00
2.00,0.00,104.67,-50.00,239.00,15.00,41.00
2.00,0.00,104.14,-200.00,239.00,18.00,41.00
2.00,0.00,103.61,-100.00,239.00,17.00,41.00
2.00,0.00,103.17,-50.00,239.00,15.00,41.00
2.00,0.00,102.73,0.00,239.00,15.00,41.00
2.00,0.00,101.94,-150.00,239.00,18.00,41.00
2.00,0.00,101.41,-100.00,242.00,20.00,41.00
2.00,0.00,100.44,-100.00,237.00,23.00,41.00
2.00,0.00,99.92,-200.00,239.00,24.00,41.00
2.00,0.00,99.39,0.00,237.00,22.00,41.00
2.00,0.00,98.95,0.00,237.00,22.00,41.00
2.00,0.00,98.33,0.00,237.00,23.00,41.00
2.00,0.00,97.54,-100.00,238.00,20.00,41.00
2.00,0.00,97.01,-100.00,237.00,24.00,41.00
2.00,0.00,96.66,-50.00,239.00,20.00,41.00
2.00,0.00,96.13,-150.00,239.00,18.00,41.00
2.00,0.00,95.70,-150.00,239.00,20.00,42.00
2.00,0.00,94.99,-100.00,237.00,20.00,41.00
2.00,0.00,94.29,-50.00,239.00,25.00,41.00
2.00,0.00,93.76,-50.00,237.00,25.00,41.00
2.00,0.00,92.97,-100.00,237.00,23.00,41.00
2.00,0.00,92.44,-150.00,237.00,22.00,41.00
2.00,0.00,91.91,-150.00,238.00,22.00,41.00
2.00,0.00,91.39,-150.00,237.00,21.00,41.00
2.00,0.00,90.77,-150.00,237.00,27.00,41.00
2.00,0.00,90.15,-50.00,237.00,27.00,41.00
2.00,0.00,89.54,-100.00,237.00,27.00,41.00
2.00,0.00,88.92,-200.00,237.00,29.00,41.00
2.00,0.00,88.48,-100.00,237.00,27.00,41.00
2.00,0.00,88.13,-150.00,237.00,25.00,41.00
