ID,GoalPos,PresPos,PresSpd,PresVolt,PresCurent,PresTemp
2.00,0.00,81.09,0.00,236.00,53.00,40.00
2.00,0.00,81.01,-50.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,53.00,40.00
2.00,0.00,81.09,0.00,236.00,53.00,40.00
2.00,0.00,81.01,0.00,236.00,56.00,40.00
2.00,0.00,80.92,0.00,236.00,58.00,40.00
2.00,0.00,80.92,0.00,236.00,58.00,40.00
2.00,0.00,81.01,50.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,57.00,40.00
2.00,0.00,80.92,0.00,236.00,57.00,40.00
2.00,0.00,80.92,0.00,236.00,53.00,40.00
2.00,0.00,81.01,0.00,237.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,237.00,55.00,40.00
2.00,0.00,81.01,0.00,236.00,55.00,40.00
2.00,0.00,81.01,0.00,234.00,200.00,40.00
2.00,0.00,81.01,0.00,230.00,101.00,40.00
2.00,0.00,85.14,550.00,227.00,76.00,40.00
2.00,0.00,90.59,1000.00,229.00,8.00,40.00
2.00,0.00,98.69,1550.00,234.00,132.00,40.00
2.00,0.00,107.22,1550.00,237.00,39.00,40.00
2.00,0.00,114.78,1350.00,238.00,11.00,40.00
2.00,0.00,118.39,400.00,239.00,0.00,40.00
2.00,0.00,119.44,100.00,239.00,0.00,40.00
2.00,0.00,119.18,-100.00,239.00,7.00,40.00
2.00,0.00,118.04,-200.00,237.00,30.00,40.00
2.00,0.00,116.89,-150.00,237.00,33.00,40.00
2.00,0.00,116.89,0.00,237.00,30.00,40.00
2.00,0.00,117.07,0.00,237.00,30.00,40.00
2.00,0.00,117.07,0.00,237.00,32.00,40.00
2.00,0.00,116.98,0.00,237.00,31.00,40.00
2.00,0.00,117.07,0.00,237.00,29.00,40.00
2.00,0.00,117.07,0.00,237.00,30.00,40.00
2.00,0.00,117.07,0.00,237.00,30.00,40.00
2.00,0.00,116.98,-50.00,237.00,31.00,40.00
2.00,0.00,116.98,0.00,237.00,30.00,40.00
2.00,0.00,117.07,0.00,237.00,30.00,40.00
2.00,0.00,117.07,0.00,237.00,30.00,40.00
2.00,0.00,117.07,0.00,237.00,29.00,40.00
2.00,0.00,117.07,0.00,237.00,29.00,40.00
2.00,0.00,117.07,0.00,237.00,29.00,40.00
2.00,0.00,117.07,0.00,237.00,29.00,40.00
2.00,0.00,117.07,0.00,237.00,29.00,40.00
2.00,0.00,117.07,0.00,237.00,30.00,40.00
2.00,0.00,117.07,0.00,237.00,30.00,40.00
2.00,0.00,117.07,0.00,237.00,29.00,40.00
